Date,Original,EW,GMV,MSR
2011-09-29,950.5883613146896,948.4525225976323,991.6064323824555,1016.4679494964246
2011-09-30,929.4542635114581,927.7202941338569,977.2024504566119,995.7496242558757
2011-10-05,950.8902562450173,956.4128361918994,997.8063173507696,1011.6423338514127
2011-10-06,964.4313143521532,973.3368170720853,1013.0662132292973,1021.8138515121274
2011-10-07,960.2187755815529,971.4538483208913,1011.5365287876461,1013.0599926895254
2011-10-10,988.1034323461613,1000.6918106293397,1032.6665065915129,1041.877737534725
2011-10-11,987.9984973533176,1000.5123777569648,1030.4525930096913,1048.434383483686
2011-10-12,994.7643040479389,1010.7946903185958,1035.8682479248912,1054.541908412407
2011-10-13,996.9366494242176,1011.1520352099978,1032.645390246445,1058.7912051487804
2011-10-14,1012.6456739170038,1027.358692675892,1045.1987531752477,1072.5640615660982
2011-10-17,997.7253018578925,1012.6894333463197,1035.1529861571887,1062.8127227130242
2011-10-18,1007.4710962182347,1020.7998543881753,1039.0060700742983,1071.8319556071197
2011-10-19,985.6808487818557,1005.9600151046255,1035.4510300987592,1055.8739728946875
2011-10-20,980.0935353557963,999.1504551127272,1036.0217023880716,1049.9467698212068
2011-10-21,988.7747431857599,1012.6309505722737,1049.6925929684924,1053.3135371839583
2011-10-24,1006.1863512791474,1032.7711890591725,1054.9572043495752,1063.94567454496
2011-10-25,994.8213175399361,1022.0602876007074,1043.360489121549,1049.7910532115475
2011-10-26,1004.3200992008723,1030.299197534633,1055.1851612596838,1047.343058630727
2011-10-27,1029.217693370147,1062.1483136152037,1074.5774395297522,1067.1525668367353
2011-10-28,1026.6601535442671,1059.8232307280985,1071.758105209099,1065.6310094788469
2011-10-31,1008.2932391226467,1035.4267460609249,1054.328247157726,1054.6782833834177
2011-11-01,983.9978853363447,1007.1249733647425,1034.4801413797504,1033.8478245071763
2011-11-02,995.1196228869757,1021.6293278869823,1043.1181828604833,1038.5951155430052
2011-11-03,1010.7767287643862,1044.0551548098235,1060.3379891598292,1055.1490073388175
2011-11-04,1009.3582136607877,1040.6400163709513,1054.175599398037,1047.5135459117087
2011-11-07,1014.9187610829282,1043.0676068718735,1055.4521041657608,1057.7405436474126
2011-11-08,1024.8915039334477,1053.7205335157144,1066.584364656262,1067.0746709964487
2011-11-09,986.1566108821123,1012.218760896638,1021.5648137810398,1038.6555166125336
2011-11-10,985.337131347203,1011.1400932035853,1019.6960289337511,1037.0465920569723
2011-11-11,1002.2459830860029,1029.892865292432,1033.9879102797058,1051.1440976600657
2011-11-14,995.9335225507192,1023.4456911122016,1027.004853144217,1042.3244445998191
2011-11-15,1000.4778497712416,1025.1979748710962,1030.6072778766322,1050.9807750019907
2011-11-16,988.3293655588654,1017.6338520468224,1021.3377325034159,1033.5158401393576
2011-11-17,971.0985050325767,1003.4687410348253,1014.4861687102913,1019.7976818245493
2011-11-18,974.6207967145355,1001.512931386924,1010.6644338027236,1014.6485748548669
2011-11-21,956.927812484198,977.3223202521925,991.5874859819123,1000.3426159274209
2011-11-22,954.1451191525358,974.6375868293602,991.5453832317244,999.252841132991
2011-11-23,934.3175464417795,955.426093679382,981.2011363335637,983.6972557017591
2011-11-28,961.4607552131422,987.3943957142335,1008.8779110015123,1007.0813892272838
2011-11-29,960.5521071329107,990.307427562005,1013.3375448916837,1008.0350972067724
2011-11-30,995.5208438270031,1027.6635571825896,1042.5090299039066,1029.131387681175
2011-12-01,990.9375999221494,1022.2446221154569,1040.4026697269405,1025.458440178017
2011-12-02,993.5846010584337,1029.6896787623532,1045.2732167245053,1026.416618317249
2011-12-05,1000.8947901279472,1033.0474576073595,1045.1570597264235,1039.1149351268043
2011-12-06,999.2989664823604,1031.322142182932,1048.085698053513,1031.8820481818084
2011-12-07,1001.1754676525337,1032.0513397730153,1046.2831118376164,1028.1223338968791
2011-12-08,987.7205784665741,1015.1643360808326,1037.290278065307,1022.9201439652362
2011-12-09,996.8220063462524,1025.7722136601567,1043.8119165171377,1031.7835517335411
2011-12-12,981.9737825230258,1007.4469626045528,1031.9529985227066,1022.8909463497935
2011-12-13,981.1565670324087,1008.0228031625606,1041.5719921084176,1024.904432204715
2011-12-14,966.7521320073627,988.1584120914032,1028.460990726425,1019.9066895374962
2011-12-15,966.2367870711267,992.8325035986693,1035.1183875353138,1015.8763499821886
2011-12-16,972.7797928304756,996.6072332554886,1031.8712244579974,1023.4717101637267
2011-12-19,961.6608058197088,987.0581638298601,1029.9759004247414,1013.8824253936584
2011-12-20,985.0832245203675,1010.456476577968,1043.6949824525254,1032.203663706818
2011-12-21,981.5608849843263,1007.3773629395008,1040.6752924720722,1028.8038326494147
2011-12-22,991.7457690409171,1017.4004063017741,1047.5512635763102,1031.226570496556
2011-12-23,998.4136725395541,1023.0817728015555,1057.525495625554,1040.7429692976275
2011-12-28,989.018704718808,1013.4057997150734,1054.0266060926137,1030.7453123776781
2011-12-29,996.4766923413346,1022.0347019320071,1061.6739534506073,1036.6373449209996
2011-12-30,994.2327024878425,1021.4779367678783,1052.8000877823422,1035.7908821399658
2012-01-03,1017.689361997718,1046.0921865082043,1079.865361835956,1058.1366264804747
2012-01-04,1021.5731415960394,1045.6460832763382,1074.7714497772404,1069.140317985226
2012-01-05,1027.3332035449846,1048.204730810606,1068.891292016279,1070.8008659596337
2012-01-06,1033.5821623924533,1050.4500104066747,1069.145219880022,1082.6604324208818
2012-01-09,1026.9756583899225,1044.2837535142226,1054.5426032808687,1074.7137694367864
2012-01-10,1034.2221672752312,1056.0780840724476,1061.4038098441763,1079.0898041099836
2012-01-11,1030.5623176245542,1055.1883061965898,1065.5879807685687,1076.172169061536
2012-01-12,1035.780851347017,1064.2127643679664,1070.7727425181592,1079.4912869691043
