path,npv_eur,npv_eur_mean,npv_eur_p50,npv_eur_p10,npv_eur_p90
120,9248.381271115371,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
121,2546.7862741066037,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
122,13029.121772016919,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
123,6201.8149045890905,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
124,6632.950659280013,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
125,4817.641262940313,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
126,11585.169311077478,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
127,13144.277502646766,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
128,3823.958604578352,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
129,10744.702262150082,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
130,4554.838707875485,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
131,17957.64352156511,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
132,13124.59412056191,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
133,4238.108687528174,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
134,6167.325871443528,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
135,22471.26085644212,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
136,4473.486269644205,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
137,5450.090080796161,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
138,3329.009239298976,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
139,5557.414303238642,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
140,3132.9546780640485,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
141,9086.465527497247,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
142,5060.504062692971,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
143,5356.436460333934,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
144,3544.2671095833284,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
145,7203.6281591845045,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
146,6487.988080713931,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
147,6718.859764345458,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
148,3131.876991350769,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
149,3352.173194869608,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
150,8287.04349409123,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
151,3100.255774223426,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
